file,expected,phase,as_of_date,payment_reference,previous_file,repayment_type,interest_only_months,original_principal_minor,coupon_bps,interest_participation_bps,penalty_participation_bps,skin_bps,minimum_investment_minor,funding_deadline,boundary_date,post_boundary_principal_minor,note
valid/lo-a-01-publish.csv,accept,Create or replace DRAFT only,2026-09-09,,,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,
valid/lo-a-02-boundary-paid.csv,accept,Repayment,2026-09-19,QA-BOUNDARY-1,lo-a-01-publish.csv,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,
valid/lo-a-03-next-paid.csv,accept,Repayment,2026-10-19,QA-REGULAR-2,lo-a-02-boundary-paid.csv,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,
valid/lo-a-04-final-paid.csv,accept,Repayment,2026-11-19,QA-FINAL-3,lo-a-03-next-paid.csv,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,
valid/lo-a-05-advance-alternative.csv,accept,Repayment alternative branch,2026-10-04,QA-ADVANCE-1,lo-a-02-boundary-paid.csv,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,Use a separate copy or restore the snapshot after boundary payment. Do not apply after file 03.
valid/lo-waterfall-01-publish.csv,accept,Separate loan draft,2026-09-09,,,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,Synthetic declared costs/penalty test only; not real contractual evidence.
valid/lo-waterfall-02-boundary-paid.csv,accept,Repayment,2026-09-19,QA-BOUNDARY-1,lo-waterfall-01-publish.csv,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,
valid/lo-waterfall-03-next-paid.csv,accept,Repayment,2026-10-19,QA-WATERFALL-2,lo-waterfall-02-boundary-paid.csv,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,
valid/lo-type-equal_installments.csv,accept,Separate loan draft,2026-09-09,,,equal_installments,0,1000000,1200,7000,5000,0,100000,2026-09-14,2026-09-19,669978,Import type coverage; no repayments attached. Main LO-A covers amortizing principal and interest.
valid/lo-type-bullet_periodic_interest.csv,accept,Separate loan draft,2026-09-09,,,bullet_periodic_interest,0,1000000,1200,7000,5000,0,100000,2026-09-14,2026-09-19,1000000,Import type coverage; no repayments attached. Main LO-A covers amortizing principal and interest.
valid/lo-type-interest_only_then_bullet.csv,accept,Separate loan draft,2026-09-09,,,interest_only_then_bullet,1,1000000,1200,7000,5000,0,100000,2026-09-14,2026-09-19,1000000,Import type coverage; no repayments attached. Main LO-A covers amortizing principal and interest.
valid/lo-type-interest_only_then_amortizing.csv,accept,Separate loan draft,2026-09-09,,,interest_only_then_amortizing,1,1000000,1200,7000,5000,0,100000,2026-09-14,2026-09-19,1000000,Import type coverage; no repayments attached. Main LO-A covers amortizing principal and interest.
invalid/bad-total.csv,reject,Draft,2026-09-09,,,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,Components do not sum to total.
invalid/bad-numbering.csv,reject,Draft,2026-09-09,,,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,Duplicate installment number.
invalid/bad-opening-principal.csv,reject,Draft,2026-09-09,,,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,Principal continuity does not reconcile.
invalid/bad-future-payment.csv,reject,Draft,2026-09-09,,,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,Claims a payment after the import as-of date.
invalid/bad-missing-history.csv,reject,Repayment,2026-10-19,QA-REGULAR-2,lo-a-02-boundary-paid.csv,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,Drops previously recorded boundary receipt.
invalid/bad-duplicate-reference.csv,reject,Repayment,2026-09-19,QA-BOUNDARY-1,lo-a-01-publish.csv,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,Repeated payment reference within one file.
invalid/bad-principal-before-interest.csv,reject,Repayment,2026-10-19,QA-WRONG-WATERFALL,lo-a-02-boundary-paid.csv,amortizing_principal_interest,0,1000000,1200,7000,5000,1000,100000,2026-09-14,2026-09-19,800000,Parser-valid; service must reject skipped due interest.
