story_id,group,story,result,release,environment,tester,tested_at,qa_business_date,actors_used,loan_or_action_reference,starting_balances,ending_balances,actual_result,evidence,bug_reference
S01,Part One Successful everyday flows,Browse while logged out,,,,,,,,,,,,,
S02,Part One Successful everyday flows,Verify the seeded accounts and balances,,,,,,,,,,,,,
S04,Part One Successful everyday flows,Log in and out as an investor,,,,,,,,,,,,,
S05,Part One Successful everyday flows,Log in as Admin,,,,,,,,,,,,,
S06,Part One Successful everyday flows,Check an empty account,,,,,,,,,,,,,
S07,Part One Successful everyday flows,Read funding instructions and record a deposit,,,,,,,,,,,,,
S08,Part One Successful everyday flows,Create a borrower with public and private data,,,,,,,,,,,,,
S09,Part One Successful everyday flows,Create and publish the main direct loan,,,,,,,,,,,,,
S10,Part One Successful everyday flows,Create and publish the main LO loan,,,,,,,,,,,,,
S11,Part One Successful everyday flows,Browse loan details and projections,,,,,,,,,,,,,
S12,Part One Successful everyday flows,Filter and sort investment opportunities,,,,,,,,,,,,,
S13,Part One Successful everyday flows,Set up Smart Invest,,,,,,,,,,,,,
S14,Part One Successful everyday flows,Receive a new matching loan alert,,,,,,,,,,,,,
S15,Part One Successful everyday flows,Fund a direct loan with two users,,,,,,,,,,,,,
S16,Part One Successful everyday flows,Subscribe to an LO loan with two users,,,,,,,,,,,,,
S17,Part One Successful everyday flows,Place a reviewed batch investment,,,,,,,,,,,,,
S18,Part One Successful everyday flows,Check portfolio tables and widgets,,,,,,,,,,,,,
S19,Part One Successful everyday flows,Convert CHF and EUR,,,,,,,,,,,,,
S20,Part One Successful everyday flows,Verify an additional payout account,,,,,,,,,,,,,
S21,Part One Successful everyday flows,Request and execute a withdrawal,,,,,,,,,,,,,
S22,Part One Successful everyday flows,Work the admin queues,,,,,,,,,,,,,
S23,Part One Successful everyday flows,Resolve direct funding and disburse,,,,,,,,,,,,,
S24,Part One Successful everyday flows,Record the LO boundary receipt,,,,,,,,,,,,,
S25,Part One Successful everyday flows,Record a regular direct installment,,,,,,,,,,,,,
S26,Part One Successful everyday flows,Record an LO installment and check the split,,,,,,,,,,,,,
S27,Part One Successful everyday flows,Settle money owed to the Loan Originator,,,,,,,,,,,,,
S28,Part One Successful everyday flows,List and edit a direct holding,,,,,,,,,,,,,
S29,Part One Successful everyday flows,Buy another investor's direct holding,,,,,,,,,,,,,
S30,Part One Successful everyday flows,Sell and buy an LO holding,,,,,,,,,,,,,
S31,Part One Successful everyday flows,Read accepted documents and statements,,,,,,,,,,,,,
S32,Part One Successful everyday flows,Check notifications settings and help,,,,,,,,,,,,,
S33,Part One Successful everyday flows,Generate admin reports and review audit evidence,,,,,,,,,,,,,
S34,Part One Successful everyday flows,Finish a loan,,,,,,,,,,,,,
C01,Part Two More complex flows,Close a partially funded direct loan,,,,,,,,,,,,,
C02,Part Two More complex flows,Cancel an underfunded or empty direct round,,,,,,,,,,,,,
C03,Part Two More complex flows,Resolve a partially subscribed LO round,,,,,,,,,,,,,
C04,Part Two More complex flows,Repair a failed funding close,,,,,,,,,,,,,
C05,Part Two More complex flows,Cancel before the deadline and release an order,,,,,,,,,,,,,
C06,Part Two More complex flows,Receive a bank-funded pending order,,,,,,,,,,,,,
C07,Part Two More complex flows,Match old money to short funding windows,,,,,,,,,,,,,
C08,Part Two More complex flows,Use several balance sources and preserve their age,,,,,,,,,,,,,
C09,Part Two More complex flows,Cancel a withdrawal and use the other verified IBAN,,,,,,,,,,,,,
C10,Part Two More complex flows,Process the day sixty return and missing IBAN case,,,,,,,,,,,,,
C11,Part Two More complex flows,Make a direct repayment in advance,,,,,,,,,,,,,
C12,Part Two More complex flows,Record an early timely installment,,,,,,,,,,,,,
C13,Part Two More complex flows,Replace an LO schedule after a prepayment,,,,,,,,,,,,,
C14,Part Two More complex flows,Reprice a listing when principal is repaid,,,,,,,,,,,,,
C15,Part Two More complex flows,Move a direct loan through late and default,,,,,,,,,,,,,
C16,Part Two More complex flows,Recover a defaulted direct loan,,,,,,,,,,,,,
C17,Part Two More complex flows,Check the same waterfall on an LO loan,,,,,,,,,,,,,
C18,Part Two More complex flows,Approve or reject a nonstandard secondary listing,,,,,,,,,,,,,
C19,Part Two More complex flows,Reconcile external FX and bank balances,,,,,,,,,,,,,
C22,Part Two More complex flows,Restrict reactivate and close an account,,,,,,,,,,,,,
C24,Part Two More complex flows,Verify late LO settlement tasks,,,,,,,,,,,,,
C25,Part Two More complex flows,Test all supported repayment shapes,,,,,,,,,,,,,
E01,Part Three Edge cases and failures,Expired used and invalid login links,,,,,,,,,,,,,
E02,Part Three Edge cases and failures,Incorrect expired and reused email codes,,,,,,,,,,,,,
E04,Part Three Edge cases and failures,Existing account compliance restrictions,,,,,,,,,,,,,
E05,Part Three Edge cases and failures,Invalid bank details and duplicate deposits,,,,,,,,,,,,,
E06,Part Three Edge cases and failures,Withdrawal and IBAN limits,,,,,,,,,,,,,
E07,Part Three Edge cases and failures,Loan draft and publication limits,,,,,,,,,,,,,
E08,Part Three Edge cases and failures,Reject malformed LO imports,,,,,,,,,,,,,
E09,Part Three Edge cases and failures,Preserve LO history and enforce the payment order,,,,,,,,,,,,,
E10,Part Three Edge cases and failures,Protect LO terms during and after funding,,,,,,,,,,,,,
E11,Part Three Edge cases and failures,Minimum balance and remaining capacity,,,,,,,,,,,,,
E12,Part Three Edge cases and failures,Compete for the same investment,,,,,,,,,,,,,
E13,Part Three Edge cases and failures,Reject a changed batch as one whole operation,,,,,,,,,,,,,
E14,Part Three Edge cases and failures,Test every FX unavailability reason,,,,,,,,,,,,,
E15,Part Three Edge cases and failures,Expire a quote or interrupt submission,,,,,,,,,,,,,
E16,Part Three Edge cases and failures,Block invalid secondary sales,,,,,,,,,,,,,
E17,Part Three Edge cases and failures,Compete for a secondary listing,,,,,,,,,,,,,
E18,Part Three Edge cases and failures,Prevent repayment before disbursement and excess receipts,,,,,,,,,,,,,
E19,Part Three Edge cases and failures,Handle failed document downloads,,,,,,,,,,,,,
E20,Part Three Edge cases and failures,Keep accounts and private data separate,,,,,,,,,,,,,
E21,Part Three Edge cases and failures,Recover from delayed or failed email delivery,,,,,,,,,,,,,
E22,Part Three Edge cases and failures,Test loading errors empty filters and long content,,,,,,,,,,,,,
E23,Part Three Edge cases and failures,Check small screens keyboard access and tooltips,,,,,,,,,,,,,
E24,Part Three Edge cases and failures,Test monetary rounding and date boundaries,,,,,,,,,,,,,
